00NEGS0129SINACOR 01292018011620180116                                                                                                                                                                  
010309450VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309610VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309630VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010337730CPETR4       VISNORPETROLEO BRAPN        000000005000000000176200008    17:20             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010000160CPETRB78     OPCNORPETROLEO BRAPN   18,75000000207000000000002700008    10:55 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010085520VBBDC4       VISNORBCO BRADESCOPN      N1000000010000000000360900008    14:38             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
010085530VBBDC4       VISNORBCO BRADESCOPN      N1000000002000000000360900120    14:38             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
010309230VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309310VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309380VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309400VPETR4       VISNORPETROLEO BRAPN        000000004000000000177100072    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309470VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309490VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309550VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309590VPETR4       VISNORPETROLEO BRAPN        000000003000000000177100072    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309660VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010069340VPETRB69     OPCNORPETROLEO BRAPN   19,00000000020000000000002500107    17:02 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010147500CBBDC4       VISNORBCO BRADESCOPN      N1000000008000000000359800016    17:12             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
010309350VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309360VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309410VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010325210CPETR4       VISNORPETROLEO BRAPN        000000050000000000176500086    17:13             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010000350VPETRB78     OPCNORPETROLEO BRAPN   18,75000000100000000000003200008    11:45 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010000390VPETRB78     OPCNORPETROLEO BRAPN   18,75000000066000000000003300008    11:49 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010000400VPETRB78     OPCNORPETROLEO BRAPN   18,75000000084000000000003300008    11:49 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010069330VPETRB69     OPCNORPETROLEO BRAPN   19,00000000225000000000002500008    17:02 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010084910VCSNA3       VISNORCIA SIDERURGON        000000050000000000106700386    14:50             00000000BRCSNAACNOR6000000000100000000000         00000             11003017100000000              1 N
010309240VPETR4       VISNORPETROLEO BRAPN        000000025000000000177100013    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309390VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309500VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309650VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309670VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309680VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
99NEGS0129SINACOR 012920180116000000076                                                                                                                                                                 
